Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Game_State,00:00:00:000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1st Half Start
Pass,00:00:18:130,Successful,Basic,-,-,High,Jahmani Braham,17,AFC O19,37,33,-,Dax Keller,4,45,38,-,-,-,-,-,-
Off-side,00:00:20:210,-,-,-,-,-,Mohamed el Khallare,7,AFC O19,25,5,-,-,-,-,-,-,-,-,-,-,-
Pass,00:00:33:000,Successful,Basic,-,-,Low,Enzo,5,FC Emmen O19,26,8,-,Raff,3,17,18,-,-,-,-,-,-
Pass,00:00:35:280,Successful,Basic,-,-,Low,Raff,3,FC Emmen O19,18,19,-,Huub,8,26,21,-,-,-,-,-,-
Pass,00:00:42:300,Unsuccessful,Basic,-,-,Medium,Huub,8,FC Emmen O19,44,35,-,-,-,-,-,-,-,-,-,-,-
Pass,00:00:51:510,Successful,Throw-in,-,-,Low,Pharell Dankwa,2,AFC O19,56,2,-,Noach Shenkman,6,36,8,-,-,-,-,-,-
Defensive Action,00:00:54:670,Successful,-,-,-,-,Enzo,5,FC Emmen O19,34,5,-,-,-,-,-,Tackle,-,-,-,-,-
Lost Possession,00:00:54:710,-,-,-,-,-,Noach Shenkman,6,AFC O19,33,5,-,-,-,-,-,-,-,-,-,-,-
Pass,00:00:56:020,Successful,Basic,-,-,High,Enzo,5,FC Emmen O19,30,7,-,Kevin,1,3,31,-,-,-,-,-,-
Pass,00:01:00:210,Successful,Basic,-,-,Low,Kevin,1,FC Emmen O19,4,31,-,Raff,3,8,20,-,-,-,-,-,-
Pass,00:01:03:780,Unsuccessful,Basic,-,-,High,Raff,3,FC Emmen O19,11,18,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:06:060,Successful,-,-,-,-,Dax Keller,4,AFC O19,48,33,-,-,-,-,-,Interception,-,-,-,-,-
Pass,00:01:06:100,Unsuccessful,Basic,-,-,High,Dax Keller,4,AFC O19,48,32,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:08:110,Successful,-,-,-,-,Enzo,5,FC Emmen O19,20,22,-,-,-,-,-,Interception,-,-,-,-,-
Pass,00:01:08:150,Unsuccessful,Basic,-,-,High,Enzo,5,FC Emmen O19,20,21,-,-,-,-,-,-,-,-,-,-,-
Pass,00:01:11:560,Successful,Basic,-,-,High,Rody Schouren,19,AFC O19,47,60,-,Diaz Baars,5,53,57,-,-,-,-,-,-
Pass,00:01:15:630,Successful,Basic,-,-,High,Diaz Baars,5,AFC O19,55,50,-,Dax Keller,4,69,46,-,-,-,-,-,-
Pass,00:01:18:240,Successful,Basic,-,-,High,Dax Keller,4,AFC O19,68,48,-,Jahmani Braham,17,20,11,-,-,-,-,-,-
Attacking Third Entry,00:01:22:000,-,-,-,-,-,Jahmani Braham,17,AFC O19,20,10,-,-,-,-,-,-,Right,-,-,-,-
Penalty Box Entries,00:01:22:940,-,-,-,-,-,Jahmani Braham,17,AFC O19,14,21,-,-,-,-,-,-,Right,-,-,-,-
Pass,00:01:24:600,Unsuccessful,Basic,-,-,High,Jahmani Braham,17,AFC O19,5,25,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:26:220,Successful,-,-,-,-,David,4,FC Emmen O19,10,37,-,-,-,-,-,Interception,-,-,-,-,-
Pass,00:01:26:380,Successful,Basic,-,-,High,David,4,FC Emmen O19,10,37,-,Raff,3,8,23,-,-,-,-,-,-
Pass,00:01:28:470,Unsuccessful,Basic,-,-,High,Raff,3,FC Emmen O19,9,24,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:30:500,Unsuccessful,-,-,-,-,Mohamed el Khallare,7,AFC O19,26,9,-,-,-,-,-,Interception,-,-,-,-,-
Pass,00:01:31:800,Successful,Basic,-,-,High,Yvarion,11,FC Emmen O19,25,12,-,Raff,3,13,31,-,-,-,-,-,-
Pass,00:01:33:800,Successful,Basic,-,-,Medium,Raff,3,FC Emmen O19,13,31,-,Emmanuel,15,32,32,-,-,-,-,-,-
Duel,00:01:35:610,Won,Ground,-,-,-,Emmanuel,15,FC Emmen O19,32,32,-,-,-,-,-,-,-,-,-,-,-
Duel,00:01:35:650,Lost,Ground,-,-,-,Prio Hamid,3,AFC O19,31,33,-,-,-,-,-,-,-,-,-,-,-
Pass,00:01:35:690,Successful,Basic,-,-,High,Emmanuel,15,FC Emmen O19,32,32,-,Ilias,2,22,74,-,-,-,-,-,-
Defensive Action,00:01:39:880,Unsuccessful,-,-,-,-,Rody Schouren,19,AFC O19,21,76,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,00:01:41:900,Unsuccessful,Basic,-,-,High,Ilias,2,FC Emmen O19,19,89,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:43:310,Successful,-,-,-,-,Diaz Baars,5,AFC O19,28,83,-,-,-,-,-,Interception,-,-,-,-,-
Duel,00:01:43:350,Won,Ground,-,-,-,Diaz Baars,5,AFC O19,29,84,-,-,-,-,-,-,-,-,-,-,-
Duel,00:01:43:390,Lost,Ground,-,-,-,D' Angelo,12,FC Emmen O19,28,84,-,-,-,-,-,-,-,-,-,-,-
Pass,00:01:43:760,Unsuccessful,Basic,-,-,High,Nicolai de Kort,15,AFC O19,25,88,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,00:01:43:970,Unsuccessful,-,-,-,-,D' Angelo,12,FC Emmen O19,27,87,-,-,-,-,-,Interception,-,-,-,-,-
Foul,00:01:48:440,-,-,-,-,-,D' Angelo,12,FC Emmen O19,30,95,-,Nicolai de Kort,15,-,-,-,-,-,-,-,-
Freekick,00:02:05:180,Successful,Pass,-,-,-,Nicolai de Kort,15,AFC O19,42,88,-,Diaz Baars,5,63,86,-,-,-,-,-,-
Pass,00:02:05:220,Successful,Basic,-,-,Low,Nicolai de Kort,15,AFC O19,42,89,-,Diaz Baars,5,63,86,-,-,-,-,-,-
Pass,00:02:08:850,Unsuccessful,Basic,-,-,Medium,Diaz Baars,5,AFC O19,45,90,-,-,-,-,-,-,-,-,-,-,-
Pass,00:02:12:130,Successful,Basic,-,-,High,David,4,FC Emmen O19,18,79,-,Kevin,1,6,54,-,-,-,-,-,-
Pass,00:02:18:070,Successful,Basic,-,-,Low,Kevin,1,FC Emmen O19,6,51,-,Raff,3,6,38,-,-,-,-,-,-
