Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Game_State,00:15:18:000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1st Half Start,,,,,
Pass,00:15:18:860,Successful,Basic,-,-,Low,Elvi,9,Helmond Sport O17,50,50,-,Jorg,3,27,53,-,-,-,-,-,-,-23,3,23,172.6,backward
Pass,00:15:22:080,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,26,48,-,Wessel,4,25,26,-,-,-,-,-,-,-1,-22,22,-92.6,lateral
Pass,00:15:24:970,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,26,28,-,Jorg,3,22,57,-,-,-,-,-,-,-4,29,29,97.9,lateral
Pass,00:15:28:470,Successful,Basic,-,-,High,Jorg,3,Helmond Sport O17,24,64,-,Keano,12,30,90,-,-,-,-,-,-,6,26,27,77.0,lateral
Pass,00:15:31:160,Unsuccessful,Basic,-,-,High,Keano,12,Helmond Sport O17,32,92,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:31:950,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,47,88,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:15:33:010,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,46,96,-,Keyane Ait Bahmad,14,39,90,-,-,-,-,-,-,-7,-6,9,-139.4,backward
Defensive Action,00:15:35:170,Successful,-,-,-,-,Berk,18,Helmond Sport O17,45,92,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:15:39:400,Unsuccessful,Basic,-,-,High,Berk,18,Helmond Sport O17,37,97,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:15:47:190,Successful,Throw-in,-,-,Low,Senn Talakua,2,Den Bosch O17,46,97,-,Sufyan van Daalen,10,30,90,-,-,-,-,-,-,-16,-7,17,-156.4,backward
Pass,00:15:49:800,Unsuccessful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,30,87,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:50:750,Successful,-,-,-,-,Rayen S.,6,Helmond Sport O17,29,81,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:15:51:870,Unsuccessful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,28,83,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:52:830,Successful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,27,85,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Defensive Action,00:15:53:160,Unsuccessful,-,-,-,-,Loek,17,Helmond Sport O17,28,87,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:15:54:660,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,30,87,-,Rayaan Lakbibchi,8,40,82,-,-,-,-,-,-,10,-5,11,-26.6,forward
Pass,00:15:58:780,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,36,59,-,Luc Lombo,18,35,23,-,-,-,-,-,-,-1,-36,36,-91.6,lateral
Pass,00:16:01:310,Unsuccessful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,32,20,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:16:03:100,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,18,24,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:16:06:080,Unsuccessful,Basic,-,-,High,Wessel,4,Helmond Sport O17,10,4,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:16:07:580,Successful,-,-,-,-,Luc Lombo,18,Den Bosch O17,29,4,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Duel,00:16:07:580,Won,Ground,-,-,-,Luc Lombo,18,Den Bosch O17,29,4,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:16:07:580,Lost,Ground,-,-,-,Max,20,Helmond Sport O17,29,4,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:16:07:610,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,28,5,-,Hassan Mustafa,20,28,12,-,-,-,-,-,-,0,7,7,90.0,lateral
Pass,00:16:11:710,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,29,4,-,Luc Lombo,18,39,4,-,-,-,-,-,-,10,0,10,0.0,forward
Pass,00:16:13:310,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,38,9,-,Rayaan Lakbibchi,8,37,16,-,-,-,-,-,-,-1,7,7,98.1,lateral
Pass,00:16:14:140,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,38,15,-,Jasper Riemersma,3,48,7,-,-,-,-,-,-,10,-8,13,-38.7,forward
Pass,00:16:16:870,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,48,10,-,Huib Alberts,15,56,39,-,-,-,-,-,-,8,29,30,74.6,lateral
Pass,00:16:21:670,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,52,44,-,Hassan Mustafa,20,47,31,-,-,-,-,-,-,-5,-13,14,-111.0,lateral
Pass,00:16:24:100,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,48,36,-,Huib Alberts,15,56,48,-,-,-,-,-,-,8,12,14,56.3,lateral
Pass,00:16:26:690,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,55,57,-,Senn Talakua,2,48,94,-,-,-,-,-,-,-7,37,38,100.7,lateral
Pass,00:16:31:120,Successful,Basic,-,-,High,Senn Talakua,2,Den Bosch O17,51,81,-,Rayaan Lakbibchi,8,52,70,-,-,-,-,-,-,1,-11,11,-84.8,lateral
Pass,00:16:33:670,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,52,67,-,Luc Lombo,18,37,4,-,-,-,-,-,-,-15,-63,65,-103.4,lateral
Pass,00:16:40:040,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,36,12,-,Rayaan Lakbibchi,8,36,29,-,-,-,-,-,-,0,17,17,90.0,lateral
Pass,00:16:41:220,Successful,Basic,-,-,Medium,Rayaan Lakbibchi,8,Den Bosch O17,36,25,-,Luc Lombo,18,44,6,-,-,-,-,-,-,8,-19,21,-67.2,lateral
Pass,00:16:43:730,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,46,9,-,Jasper Riemersma,3,60,13,-,-,-,-,-,-,14,4,15,16.0,forward
Pass,00:16:46:310,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,59,23,-,Huib Alberts,15,62,57,-,-,-,-,-,-,3,34,34,85.0,lateral
Pass,00:16:49:480,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,60,63,-,Hassan Mustafa,20,49,64,-,-,-,-,-,-,-11,1,11,174.8,backward
Pass,00:16:51:600,Successful,Basic,-,-,Medium,Hassan Mustafa,20,Den Bosch O17,51,71,-,Senn Talakua,2,45,94,-,-,-,-,-,-,-6,23,24,104.6,lateral
Pass,00:16:54:440,Successful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,48,90,-,Huib Alberts,15,73,66,-,-,-,-,-,-,25,-24,35,-43.8,forward
Pass,00:16:58:160,Successful,Basic,-,-,Low,Huib Alberts,15,Den Bosch O17,74,63,-,Jasper Riemersma,3,68,28,-,-,-,-,-,-,-6,-35,36,-99.7,lateral
Pass,00:17:01:860,Successful,Basic,-,-,Low,Jasper Riemersma,3,Den Bosch O17,67,23,-,Luc Lombo,18,54,6,-,-,-,-,-,-,-13,-17,21,-127.4,lateral
Pass,00:17:06:450,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,44,12,-,Thijs Mendonca,22,37,18,-,-,-,-,-,-,-7,6,9,139.4,backward
Defensive Action,00:17:08:440,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,34,21,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:17:08:750,Successful,Basic,-,-,High,Wessel,4,Helmond Sport O17,34,22,-,Loek,17,36,36,-,-,-,-,-,-,2,14,14,81.9,lateral
Pass,00:17:11:700,Successful,Basic,-,-,Medium,Loek,17,Helmond Sport O17,39,38,-,Berk,18,46,57,-,-,-,-,-,-,7,19,20,69.8,lateral
Pass,00:17:13:720,Successful,Basic,-,-,High,Berk,18,Helmond Sport O17,41,60,-,Jorg,3,23,49,-,-,-,-,-,-,-18,-11,21,-148.6,backward
Pass,00:17:16:800,Successful,Basic,-,-,Low,Jorg,3,Helmond Sport O17,22,51,-,Nasim,23,10,52,-,-,-,-,-,-,-12,1,12,175.2,backward
Pass,00:17:19:890,Successful,Basic,-,-,Low,Nasim,23,Helmond Sport O17,12,50,-,Wessel,4,18,34,-,-,-,-,-,-,6,-16,17,-69.4,lateral
Pass,00:17:24:349,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,25,30,-,Jorg,3,20,56,-,-,-,-,-,-,-5,26,26,100.9,lateral
Pass,00:17:27:060,Successful,Basic,-,-,Low,Jorg,3,Helmond Sport O17,20,55,-,Wessel,4,25,25,-,-,-,-,-,-,5,-30,30,-80.5,lateral
Pass,00:17:30:280,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,30,21,-,Dani,7,46,4,-,-,-,-,-,-,16,-17,23,-46.7,lateral
