,Type,timestamp,posX,posY,receivedPosX,receivedPosY,isForwardPass,isSucceeded,receiverId,playerId,receiverTime
0,Pass,2024-10-15 17:10:29.003,51.86,33.86,28.92,30.83,1.0,1.0,97308.0,97315,2024-10-15 17:10:29.207000
1,Pass,2024-10-15 17:10:32.603,28.32,31.85,26.7,47.03,0.0,1.0,97309.0,97308,2024-10-15 17:10:32.603000
2,Pass,2024-10-15 17:10:34.802,26.42,47.9,24.44,27.74,0.0,1.0,97308.0,97309,2024-10-15 17:10:35.000000
3,Pass,2024-10-15 17:10:38.547,26.31,24.61,36.38,4.43,0.0,1.0,97317.0,97308,2024-10-15 17:10:38.603000
4,TacklesAndInterceptions,2024-10-15 17:10:40.406,49.23,5.04,,,,,0.0,97332,0
5,Pass,2024-10-15 17:10:40.406,37.22,3.34,48.69,4.54,0.0,0.0,0.0,97317,0
6,TacklesAndInterceptions,2024-10-15 17:10:42.000,42.21,2.45,,,,,0.0,97317,0
7,Pass,2024-10-15 17:10:42.000,49.36,1.28,43.35,2.47,0.0,0.0,0.0,97332,0
8,Pass,2024-10-15 17:10:47.802,39.84,1.38,42.56,0.13,0.0,0.0,0.0,97317,0
9,Pass,2024-10-15 17:10:48.805,43.43,0.84,47.02,-1.01,1.0,0.0,0.0,97332,0
10,Pass,2024-10-15 17:10:57.401,46.65,-0.11,32.9,4.07,0.0,1.0,97341.0,97326,2024-10-15 17:10:57.401000
11,Pass,2024-10-15 17:11:01.405,32.05,5.18,31.42,11.17,0.0,1.0,97343.0,97341,2024-10-15 17:11:01.405000
12,Pass,2024-10-15 17:11:06.207,31.26,7.55,43.37,11.72,1.0,1.0,97332.0,97341,2024-10-15 17:11:06.207000
13,Pass,2024-10-15 17:11:08.365,40.34,25.73,39.24,47.0,0.0,1.0,97329.0,97332,2024-10-15 17:11:08.405000
14,Pass,2024-10-15 17:11:11.884,34.25,51.18,16.16,52.8,0.0,0.0,0.0,97329,0
15,Pass,2024-10-15 17:11:20.600,24.56,64.46,31.75,71.11,1.0,0.0,0.0,97342,0
16,Pass,2024-10-15 17:11:27.387,36.05,59.88,57.8,40.19,1.0,1.0,97337.0,97332,2024-10-15 17:11:27.402000
17,Pass,2024-10-15 17:11:30.801,53.1,37.81,48.06,45.78,0.0,1.0,97342.0,97337,2024-10-15 17:11:31.005000
18,Pass,2024-10-15 17:11:33.807,51.11,43.71,59.27,34.34,0.0,1.0,97337.0,97342,2024-10-15 17:11:33.807000
19,Pass,2024-10-15 17:11:37.456,59.07,29.56,51.49,1.22,0.0,1.0,97326.0,97337,2024-10-15 17:11:37.601000
20,Pass,2024-10-15 17:11:40.201,52.38,7.27,53.49,13.94,0.0,1.0,97332.0,97326,2024-10-15 17:11:40.201000
